Area,Type of crime,Latitude,Longitude
El Redondo,Assualt,"37.336877, -120.490392",
El Redondo,Theft,"37.334206, -120.495480",
El Redondo,Motor Veichle Theft,"37.334206, -120.495480",
El Redondo,Vandalism,"37.333591, -120.495814",
El Redondo,Theft,"37.326336, -120.502131",
El Redondo,Weapons Charge,"37.327790, -120.496354",
El Redondo,Vandalism,"37.333567, -120.498413",
El Redondo,Vandalism,"37.327049, -120.492394",
El Redondo,Vandalism,"37.326529, -120.490665",
El Redondo,Vandalism,"37.325829, -120.494881",
Bellevue,Burglary,"37.351446, -120.474215",
Bellevue,Assualt,"37.355429, -120.470138",
Via Moraga,Burglary,"37.325168, -120.439957",
Via Moraga,Burglary,"37.324528, -120.441167",
Via Moraga,Burglary,"37.325415, -120.442680",
Via Moraga,Theft,"37.327764, -120.445513",
Via Moraga,Weapons Charge,"37.332347, -120.457474",
Via Moraga,Motor Veichle Theft,"37.329711, -120.462967",
Via Moraga,Theft,"37.326304, -120.465090",
Via Moraga,Assualt,"37.323838, -120.461185",
Via Moraga,Motor Veichle Theft,"37.323838, -120.461185",
Via Moraga,Assualt,"37.320507, -120.462127",
Via Moraga,Theft,"37.320507, -120.462127",
Via Moraga,Theft,"37.318622, -120.469016",
R Street,DUI,"37.332206, -120.483009",
R Street,Assualt,"37.333733, -120.481314",
R Street,Theft,"37.334072, -120.483030",
R Street,Burglary,"37.328940, -120.486737",
R Street,Assualt,"37.330757, -120.487177",
R Street,Motor Veichle Theft,"37.330757, -120.487177",
R Street,Vandalism,"37.326346, -120.486005",
R Street,Vandalism,"37.326346, -120.486005",
R Street,Theft,"37.325900, -120.486882",
R Street,Assualt,"37.324356, -120.485831",
R Street,Theft,"37.322530, -120.485713",
R Street,Assualt,"37.320858, -120.484511",
R Street,Theft,"37.320858, -120.484511",
R Street,Motor Veichle Theft,"37.320858, -120.484511",
R Street,Theft,"37.323639, -120.483460",
R Street,Assualt,"37.322274, -120.490326",
R Street,Assualt,"37.322714, -120.492819",
R Street,Vandalism,"37.321758, -120.493956",
R Street,Theft,"37.321758, -120.493956",
R Street,Motor Veichle Theft,"37.320594, -120.498853",
R Street,Motor Veichle Theft,"37.319843, -120.499196",
R Street,Assualt,"37.322787, -120.478371",
R Street,Assualt,"37.323111, -120.476783",
R Street,Theft,"37.323964, -120.476161",
R Street,Motor Veichle Theft,"37.320910, -120.480528",
R Street,Assualt,"37.332265, -120.469083",
R Street,Assualt,"37.314505, -120.502306",
R Street,Sexual Offense,"37.314872, -120.501104",
R Street,Assualt,"37.312218, -120.503861",
R Street,Assualt,"37.317933, -120.496321",
R Street,Drug and Alcohol Abuse,"37.318804, -120.474067",
R Street,Theft,"37.319925, -120.490440",
R Street,Assualt,"37.318253, -120.500868",
